case_id,dataset_split,cv_group_flow,flow_rate_Lmin,TIM_thickness_mm,TIM_conductivity_W_mK,TIM_resistance_theory_K_W,system_thermal_resistance_K_W,Tmax_chip_C,Tout_mass_weighted_C,pressure_drop_Pa,pumping_power_W,thermal_limit_pass,hydraulic_qc_pass,energy_balance_available,preliminary_ml_include
COLD45_28,train_cv,flow_0.20,0.2,0.05,6.0,0.08333333333333333,0.3913080077470312,64.13080077470312,32.161709130857844,6849.683908684471,0.022832279695614903,1,1,0,1
COLD45_29,test_holdout,flow_0.25,0.25,0.05,6.0,0.08333333333333333,0.3711424780061742,62.11424780061742,30.721685004176834,8885.615879164581,0.03702339949651909,1,1,0,1
COLD45_30,train_cv,flow_0.30,0.3,0.05,6.0,0.08333333333333333,0.3561814822050724,60.61814822050724,29.76071411359044,10941.153781660203,0.05470576890830101,1,1,0,1
COLD45_31,train_cv,flow_0.10,0.1,0.15,1.5,0.9999999999999999,1.3754410271445965,162.54410271445965,39.35235131412628,2963.924558000465,0.004939874263334108,0,1,0,1
COLD45_32,train_cv,flow_0.15,0.15,0.15,1.5,0.9999999999999999,1.327912024685926,157.7912024685926,34.56074422019384,4859.768214381035,0.012149420535952587,0,1,0,1
COLD45_33,train_cv,flow_0.20,0.2,0.15,1.5,0.9999999999999999,1.29917040098548,154.917040098548,32.16243593436741,6844.075909454942,0.022813586364849807,0,1,0,1
COLD45_34,test_holdout,flow_0.25,0.25,0.15,1.5,0.9999999999999999,1.2791614520211279,152.91614520211277,30.72191585256803,8875.790071036003,0.03698245862931668,0,1,0,1
COLD45_35,train_cv,flow_0.30,0.3,0.15,1.5,0.9999999999999999,1.264338706221285,151.4338706221285,29.760729880218662,10924.957453128567,0.05462478726564283,0,1,0,1
COLD45_36,train_cv,flow_0.10,0.1,0.15,3.0,0.49999999999999994,0.8788195984127765,112.88195984127765,39.35223349506879,2963.8705950514104,0.004939784325085684,0,1,0,1
COLD45_37,train_cv,flow_0.15,0.15,0.15,3.0,0.49999999999999994,0.8312319499894312,108.12319499894312,34.56065076225309,4859.709754299369,0.012149274385748421,0,1,0,1
COLD45_38,train_cv,flow_0.20,0.2,0.15,3.0,0.49999999999999994,0.8024400110030445,105.24400110030444,32.16234808319234,6844.023384187693,0.022813411280625643,0,1,0,1
COLD45_39,test_holdout,flow_0.25,0.25,0.15,3.0,0.49999999999999994,0.782392380848853,103.2392380848853,30.721827249068554,8875.75625862724,0.036982317744280166,0,1,0,1
COLD45_40,train_cv,flow_0.30,0.3,0.15,3.0,0.49999999999999994,0.7675399159621611,101.75399159621611,29.760636009670918,10924.946181286783,0.05462473090643391,0,1,0,1
COLD45_41,train_cv,flow_0.10,0.1,0.15,6.0,0.24999999999999997,0.6319660847958545,88.19660847958545,39.352173949610574,2963.827556499772,0.004939712594166287,0,1,0,1
COLD45_42,train_cv,flow_0.15,0.15,0.15,6.0,0.24999999999999997,0.5843027988137061,83.43027988137061,34.56060306815522,4859.659475937823,0.012149148689844557,1,1,0,1
COLD45_43,train_cv,flow_0.20,0.2,0.15,6.0,0.24999999999999997,0.5554538905430991,80.54538905430991,32.16230392862337,6843.977383487675,0.022813257944958917,1,1,0,1
COLD45_44,test_holdout,flow_0.25,0.25,0.15,6.0,0.24999999999999997,0.5353565723372583,78.53565723372583,30.721781583187976,8875.726305608818,0.03698219294003674,1,1,0,1
COLD45_45,train_cv,flow_0.30,0.3,0.15,6.0,0.24999999999999997,0.5204597842426051,77.04597842426051,29.760589435539714,10924.941654945085,0.054624708274725424,1,1,0,1
